Time,Temperature,Humidity,CO2,tvoc,illumination
4/3/2021 6:00,22.3,27.3,365,138,0.75
4/3/2021 8:00,22.4,26,361,123,0.0833
4/3/2021 10:00,22.6,25.5,360,119,0
4/3/2021 12:00,22.6,25.2,357,118,0
4/3/2021 14:00,22.6,24.8,357,111,0
4/3/2021 16:00,22.6,24.9,357,108,0
4/3/2021 18:00,22.5,25.2,360,101,0
4/3/2021 20:00,22.3,24.6,361,81,0
4/3/2021 22:00,22.2,24,360,64.8,0
4/4/2021 0:00,22,23.7,360,49.3,0
4/4/2021 2:00,21.8,23.5,360,40.3,0
4/4/2021 4:00,21.6,23.6,362,33,0
4/4/2021 6:00,21.5,24,369,25.8,0.25
4/4/2021 8:00,21.5,23.9,367,33.8,0.167
4/4/2021 10:00,21.7,23.1,361,26.8,0
4/4/2021 12:00,21.7,23,358,27,0
4/4/2021 14:00,21.7,23.2,356,31.4,0
4/4/2021 16:00,21.7,23.1,354,27.8,0
4/4/2021 18:00,21.6,23.5,356,25.5,0
4/4/2021 20:00,21.5,23.7,360,22.8,0
4/4/2021 22:00,21.4,24,369,20.2,0
4/5/2021 0:00,21.2,24.3,375,18.1,0
4/5/2021 2:00,21.1,24.7,382,16.7,0
4/5/2021 4:00,21,25,390,15.6,0
4/5/2021 6:00,20.9,25.5,391,16.3,0.167
4/5/2021 8:00,21,25.4,385,26.2,0.0833
4/5/2021 10:00,21.2,25.5,378,39.1,0
4/5/2021 12:00,21.3,26,370,50.1,0
4/5/2021 14:00,21.3,26,366,56.8,0
4/5/2021 16:00,21.3,26,362,58.2,0
4/5/2021 18:00,21.3,26,361,52.6,0
4/5/2021 20:00,21.2,26,364,47.7,0
4/5/2021 22:00,21.1,26.5,368,43.8,0
4/6/2021 0:00,21,26.4,373,40.1,0
4/6/2021 2:00,20.9,25.6,368,22.9,0
4/6/2021 4:00,20.8,24.6,363,4.75,0
4/6/2021 6:00,20.7,23.7,359,3.58,0.167
4/6/2021 8:00,20.8,22.7,360,5.42,0.0833
4/6/2021 10:00,20.9,22,356,3.67,0
4/6/2021 12:00,20.9,22,356,3.9,0
4/6/2021 14:00,20.9,21.9,356,4.13,0
4/6/2021 16:00,20.8,21.9,355,4.37,0
4/6/2021 18:00,20.8,21.8,355,4.6,0
4/6/2021 20:00,20.8,21.8,355,4.83,0
4/6/2021 22:00,20.8,21.7,355,5.07,0
4/7/2021 0:00,20.8,21.7,355,5.3,0
4/7/2021 2:00,20.8,21.6,355,5.53,0
4/7/2021 4:00,20.8,21.6,355,5.77,0
4/7/2021 6:00,20.8,21.5,354,6,0
4/7/2021 8:00,20.3,22.7,535,116,37.3
4/7/2021 10:00,20.6,24.5,1025,274,80.7
4/7/2021 12:00,20.2,19.9,538,93.2,71.7
4/7/2021 14:00,20.3,22,552,175,38.8
4/7/2021 16:00,20.2,23.2,489,160,0
4/7/2021 18:00,20,22.2,443,103,0
4/7/2021 20:00,19.9,22,418,80.3,0
4/7/2021 22:00,19.8,22,401,66.8,0
4/8/2021 0:00,19.7,22.4,392,52.3,0
4/8/2021 2:00,19.6,22.5,389,45.8,0
4/8/2021 4:00,19.5,22.8,393,52.9,8.17
4/8/2021 6:00,19.9,24.4,832,333,132
4/8/2021 8:00,20.6,26,1147,290,211
4/8/2021 10:00,20.9,27.3,1208,309,84.7
4/8/2021 12:00,20.7,23.7,761,231,67.2
4/8/2021 14:00,20.7,23.1,560,200,36.9
4/8/2021 16:00,20.5,24.4,485,195,0
4/8/2021 18:00,20.4,24,449,153,0
4/8/2021 20:00,20.2,24,432,133,0
4/8/2021 22:00,20.1,24,424,121,0
4/9/2021 0:00,20,24.4,415,106,0
4/9/2021 2:00,19.9,24.5,411,96.9,0
4/9/2021 4:00,19.8,24.5,413,94.9,10
4/9/2021 6:00,20.2,26.3,832,411,127
4/9/2021 8:00,20.9,27.4,1062,385,207
4/9/2021 10:00,21.1,26.5,900,308,66.5
4/9/2021 12:00,20.7,27,581,247,1
4/9/2021 14:00,20.5,29.5,531,268,0.167
4/9/2021 16:00,20.5,27.9,480,247,28.8
4/9/2021 18:00,20.5,29.1,433,255,0
4/9/2021 20:00,20.4,28.6,426,237,0
4/9/2021 22:00,20.4,28,419,219,0
4/10/2021 0:00,20.3,28,415,205,0
4/10/2021 2:00,20.3,28,415,196,0
4/10/2021 4:00,20.2,28,419,189,0
4/10/2021 6:00,20.2,28,427,183,0
4/10/2021 8:00,20.2,28,426,171,0
4/10/2021 10:00,20.2,28,411,163,0
4/10/2021 12:00,20.2,28,399,159,0
4/10/2021 14:00,20.2,28,390,158,0
4/10/2021 16:00,20.2,28,385,157,0
4/10/2021 18:00,20.2,28,387,158,0
4/10/2021 20:00,20.1,28.1,390,158,0
4/10/2021 22:00,20.1,28.5,397,159,0
4/11/2021 0:00,20.1,28.5,405,160,0
4/11/2021 2:00,20,28.8,407,163,0
4/11/2021 4:00,20,29.1,407,166,0
4/11/2021 6:00,20,29.5,403,168,0
4/11/2021 8:00,20,30.1,397,171,0
4/11/2021 10:00,20,30.7,390,176,0
4/11/2021 12:00,20,31,385,179,0
4/11/2021 14:00,20,31.2,380,181,0
4/11/2021 16:00,20,31.5,378,184,0
4/11/2021 18:00,20,31.5,378,185,0
4/11/2021 20:00,20,31.5,384,187,0
4/11/2021 22:00,19.9,31.5,392,189,0
4/12/2021 0:00,19.9,31.8,398,189,0
4/12/2021 2:00,19.9,32.1,405,191,0
4/12/2021 4:00,19.9,32.6,414,200,10.9
4/12/2021 6:00,20.4,35.7,814,702,57
4/12/2021 8:00,20.9,38.6,1338,927,67.1
4/12/2021 10:00,21,40.3,1373,740,55.5
4/12/2021 12:00,20.9,38.6,1051,472,28.9
4/12/2021 14:00,20.7,37.6,623,362,21
4/12/2021 16:00,20.5,37.5,552,354,0
4/12/2021 18:00,20.4,36.2,492,318,0
4/12/2021 20:00,20.3,35.3,448,291,0
4/12/2021 22:00,20.2,34.5,425,271,0
4/13/2021 0:00,20.1,33.9,411,254,0
4/13/2021 2:00,20,33.1,399,234,0
4/13/2021 4:00,20,32.3,395,226,8.5
4/13/2021 6:00,20.5,31.5,812,508,118
4/13/2021 8:00,21,31.6,1054,405,153
4/13/2021 10:00,21.2,29.9,956,311,69.9
4/13/2021 12:00,21,27.8,758,273,49.6
4/13/2021 14:00,20.9,28,538,240,25.3
4/13/2021 16:00,20.7,29.6,476,241,0
4/13/2021 18:00,20.6,28.6,440,208,0
4/13/2021 20:00,20.5,28.4,425,192,0
4/13/2021 22:00,20.4,28,408,176,0
4/14/2021 0:00,20.3,27.9,400,165,0
4/14/2021 2:00,20.2,27.5,392,153,0
4/14/2021 4:00,20.1,27.2,393,140,11.8
4/14/2021 6:00,20.5,27.3,906,386,113
4/14/2021 8:00,21.4,29.5,1330,361,126
4/14/2021 10:00,21.3,27.3,974,264,47.4
4/14/2021 12:00,21.2,23.1,587,184,62.6
4/14/2021 14:00,21.2,24.4,577,198,44.8
4/14/2021 16:00,21.1,26.2,467,210,0
4/14/2021 18:00,20.9,25.3,429,169,0
4/14/2021 20:00,20.8,25,413,150,0
4/14/2021 22:00,20.7,25,402,140,0
4/15/2021 0:00,20.6,25,393,133,0
4/15/2021 2:00,20.5,25.5,390,127,0
4/15/2021 4:00,20.5,25.6,394,146,10.6
4/15/2021 6:00,20.8,28,738,336,101
4/15/2021 8:00,21.6,29.9,1004,291,374
4/15/2021 10:00,21.8,27.5,732,230,214
4/15/2021 12:00,21.3,24.4,476,143,98.5
4/15/2021 14:00,20.7,25.9,420,157,26.5
4/15/2021 16:00,20.9,27.6,433,197,0
4/15/2021 18:00,20.9,27.5,418,186,0
4/15/2021 20:00,20.8,27.5,414,173,0
4/15/2021 22:00,20.7,27.4,407,163,0
4/16/2021 0:00,20.6,27.5,402,155,0
4/16/2021 2:00,20.5,27.5,400,146,0
4/16/2021 4:00,20.5,27,404,148,11.8
4/16/2021 6:00,21,27.9,765,340,236
4/16/2021 8:00,22.2,27.2,878,287,505
4/16/2021 10:00,22.2,26.3,775,273,182
4/16/2021 12:00,21.7,25.4,578,244,57.8
4/16/2021 14:00,21.6,27,507,249,0.182
4/16/2021 16:00,21.5,28,463,248,0
4/16/2021 18:00,21.4,27.1,434,212,0
4/16/2021 20:00,21.3,26.7,423,188,0
4/16/2021 22:00,21.2,27,419,176,0
4/17/2021 0:00,21,27,415,167,0
4/17/2021 2:00,20.9,27,412,158,0
4/17/2021 4:00,20.8,27,407,148,0
4/17/2021 6:00,20.7,27,405,138,0.167
4/17/2021 8:00,20.8,26.5,397,128,0
4/17/2021 10:00,21,26.3,385,124,0
4/17/2021 12:00,21,26.4,378,126,0
4/17/2021 14:00,21.1,26,371,128,0
4/17/2021 16:00,21.2,25.9,370,126,0
4/17/2021 18:00,21.2,25.5,370,116,0
4/17/2021 20:00,21.2,25.5,368,109,0
4/17/2021 22:00,21.2,25.5,371,110,0
4/18/2021 0:00,21.1,26,376,110,0
4/18/2021 2:00,21,26,382,109,0
4/18/2021 4:00,20.9,26.3,389,109,0
4/18/2021 6:00,20.9,26.5,392,108,0.0833
4/18/2021 8:00,21,26.3,386,105,0
4/18/2021 10:00,21,26.1,380,104,0
4/18/2021 12:00,21.1,26,377,107,0.0833
4/18/2021 14:00,21.2,26,373,109,0
4/18/2021 16:00,21.2,26,368,107,0
4/18/2021 18:00,21.2,26,367,103,0
4/18/2021 20:00,21.2,26,367,101,0
4/18/2021 22:00,21.1,26,372,101,0
4/19/2021 0:00,21.1,26.5,379,101,0
4/19/2021 2:00,21.1,26.5,388,104,0
4/19/2021 4:00,21,26.7,402,107,13.6
4/19/2021 6:00,21.4,29.1,760,348,136
4/19/2021 8:00,22,31.4,1167,322,203
4/19/2021 10:00,22.1,33.6,1496,360,74.8
4/19/2021 12:00,22,30.6,995,287,57.9
4/19/2021 14:00,21.9,30.5,639,281,19.8
4/19/2021 16:00,21.8,29.8,526,247,0
4/19/2021 18:00,21.7,28.3,467,205,0
4/19/2021 20:00,21.6,27.8,438,183,0
4/19/2021 22:00,21.5,27.5,419,168,0
4/20/2021 0:00,21.4,27.5,413,160,0
4/20/2021 2:00,21.3,27.5,410,152,0
4/20/2021 4:00,21.3,27.5,411,150,14.3
4/20/2021 6:00,21.7,29.6,792,386,205
4/20/2021 8:00,22.7,30.1,1062,335,460
4/20/2021 10:00,22.7,27.6,681,250,172
4/20/2021 12:00,22.2,25.4,456,162,58.9
4/20/2021 14:00,22.2,28.1,520,232,35.3
4/20/2021 16:00,22.1,29.5,507,250,0
4/20/2021 18:00,22.1,28.6,460,220,0
4/20/2021 20:00,22,28.5,438,200,0
4/20/2021 22:00,21.9,28.5,431,194,0
4/21/2021 0:00,21.8,28.5,432,186,0
4/21/2021 2:00,21.7,28.5,432,181,0
4/21/2021 4:00,21.6,28.5,440,178,11.8
4/21/2021 6:00,22.1,30.6,839,419,199
4/21/2021 8:00,22.4,28.5,625,239,304
4/21/2021 10:00,22.5,28.3,543,236,121
4/21/2021 12:00,22.2,27.1,445,199,40.1
4/21/2021 14:00,22.2,27.8,449,277,17
4/21/2021 16:00,22.1,29.3,450,262,0
4/21/2021 18:00,22.1,29,428,233,0
4/21/2021 20:00,22.1,29,424,217,0
4/21/2021 22:00,22,29,420,206,0
4/22/2021 0:00,21.9,29.1,417,199,0
4/22/2021 2:00,21.9,29.5,423,196,0
4/22/2021 4:00,21.9,29.5,434,198,17.7
4/22/2021 6:00,22.4,32,814,516,255
4/22/2021 8:00,23.4,32.2,832,404,469
4/22/2021 10:00,23.4,29.9,574,295,181
4/22/2021 12:00,23,27.8,481,243,53.2
4/22/2021 14:00,22.9,28.8,458,311,23.4
4/22/2021 16:00,22.8,31.3,460,334,0
4/22/2021 18:00,22.8,30.3,433,292,0
4/22/2021 20:00,22.7,30,419,266,0
4/22/2021 22:00,22.6,30,413,250,0
4/23/2021 0:00,22.5,30,412,238,0
4/23/2021 2:00,22.4,29.8,415,228,0
4/23/2021 4:00,22.3,29.7,423,223,8.08
4/23/2021 6:00,22.7,30.7,791,422,260
4/23/2021 8:00,23.2,27.7,567,244,458
4/23/2021 10:00,23.2,25.8,476,214,149
4/23/2021 12:00,23,25.2,442,213,45.3
4/23/2021 14:00,23.1,27.8,454,292,29.8
4/23/2021 16:00,23.1,29.9,448,305,0
4/23/2021 18:00,23,28.9,424,262,0
4/23/2021 20:00,22.9,28.1,411,232,0
4/23/2021 22:00,22.8,28,406,218,0
4/24/2021 0:00,22.7,28.2,410,210,0
4/24/2021 2:00,22.5,28.5,416,207,0
4/24/2021 4:00,22.4,29,421,199,0
4/24/2021 6:00,22.2,28.9,421,190,0.167
4/24/2021 8:00,22.4,27.9,407,175,0
4/24/2021 10:00,22.6,27.5,395,172,0
4/24/2021 12:00,22.6,28,385,174,0
4/24/2021 14:00,22.7,28,379,179,0
4/24/2021 16:00,22.8,28,377,181,0
4/24/2021 18:00,22.8,28,376,176,0
4/24/2021 20:00,22.7,28.4,390,175,0
4/24/2021 22:00,22.6,28.6,398,175,0
4/25/2021 0:00,22.6,29,409,175,0
4/25/2021 2:00,22.5,29,416,174,0
4/25/2021 4:00,22.3,29.4,421,175,0
4/25/2021 6:00,22.2,29.5,422,173,0.0909
4/25/2021 8:00,22.4,29.3,408,170,0
4/25/2021 10:00,22.6,29.3,399,175,0
4/25/2021 12:00,22.6,29.5,389,178,0
4/25/2021 14:00,22.7,29.5,383,184,0.333
4/25/2021 16:00,22.8,29.3,378,183,0
4/25/2021 18:00,22.8,29,376,177,0
4/25/2021 20:00,22.7,29,379,171,0
4/25/2021 22:00,22.7,29,383,167,0
4/26/2021 0:00,22.6,29,392,164,0
4/26/2021 2:00,22.6,29,398,163,0
4/26/2021 4:00,22.6,29.3,413,166,10.8
4/26/2021 6:00,22.9,31.4,786,427,59.8
4/26/2021 8:00,23.2,33.4,814,354,64.1
4/26/2021 10:00,23.3,35.2,882,291,51.8
4/26/2021 12:00,23.2,35.8,578,287,75.3
4/26/2021 14:00,23,36.8,469,572,53.9
4/26/2021 16:00,22.9,36.6,473,445,0
4/26/2021 18:00,22.7,35.6,460,341,0
4/26/2021 20:00,22.6,35.3,447,316,0
4/26/2021 22:00,22.5,35,437,296,0
4/27/2021 0:00,22.4,35,429,281,0
4/27/2021 2:00,22.3,34.6,424,268,0
4/27/2021 4:00,22.3,34.5,424,257,7.33
4/27/2021 6:00,22.6,36.4,760,515,76.8
4/27/2021 8:00,22.7,37.2,786,380,72.8
4/27/2021 10:00,22.8,37.3,809,358,98.5
4/27/2021 12:00,22.7,36.1,528,295,64.9
4/27/2021 14:00,22.7,35.5,415,331,42.3
4/27/2021 16:00,22.7,36.8,412,316,0
4/27/2021 18:00,22.6,36,405,295,0
4/27/2021 20:00,22.5,35.5,400,280,0
4/27/2021 22:00,22.5,35.1,398,271,0
4/28/2021 0:00,22.4,35,397,262,0
4/28/2021 2:00,22.3,34.8,393,254,0
4/28/2021 4:00,22.3,34.9,400,247,5.17
4/28/2021 6:00,22.7,37.2,772,416,171
4/28/2021 8:00,23.2,36.2,661,315,341
4/28/2021 10:00,23.5,35.9,725,313,139
4/28/2021 12:00,23.4,35,566,309,79
4/28/2021 14:00,23.3,33.8,487,276,41.6
4/28/2021 16:00,23.2,35.7,440,371,8.33
4/28/2021 18:00,23.1,36.2,424,338,0
4/28/2021 20:00,23,35.5,410,315,0
4/28/2021 22:00,22.9,35.4,403,300,0
4/29/2021 0:00,22.8,35.5,399,289,0
4/29/2021 2:00,22.8,35.5,393,282,0
4/29/2021 4:00,22.7,36.1,395,278,10.3
4/29/2021 6:00,22.9,40.5,620,462,56.1
4/29/2021 8:00,23,42.5,660,378,69.9
4/29/2021 10:00,23.1,43.7,770,375,63.7
4/29/2021 12:00,23,42.6,562,348,45.8
4/29/2021 14:00,22.8,43.9,462,883,24.4
4/29/2021 16:00,22.7,43.9,465,959,0
4/29/2021 18:00,22.5,42.4,447,551,0
4/29/2021 20:00,22.4,41.7,436,386,0
4/29/2021 22:00,22.2,41.2,429,359,0
4/30/2021 0:00,22.1,41,426,343,0
4/30/2021 2:00,22,41,421,330,0
4/30/2021 4:00,21.9,41.2,420,324,8.75
4/30/2021 6:00,22.2,44.5,698,453,58.3
4/30/2021 8:00,22.6,46.2,803,380,86.5
4/30/2021 10:00,22.7,46.4,701,401,67.2
4/30/2021 12:00,22.5,46,518,376,28.7
4/30/2021 14:00,22.6,47.4,459,549,34.5
4/30/2021 16:00,22.5,48.4,451,653,0.0833
4/30/2021 18:00,22.5,47,443,538,0
4/30/2021 20:00,22.4,45.6,436,439,0
4/30/2021 22:00,22.3,44.8,432,381,0
5/1/2021 0:00,22.2,44.4,434,368,0
5/1/2021 2:00,22.1,44,433,359,0
5/1/2021 4:00,22,43.7,437,350,0
5/1/2021 6:00,22,43.5,438,344,0
5/1/2021 8:00,22,43.5,428,334,0
5/1/2021 10:00,22.1,43.5,415,331,0
5/1/2021 12:00,22.1,43.5,405,330,0
5/1/2021 14:00,22.1,44,395,328,0
5/1/2021 16:00,22,44,390,328,0
5/1/2021 18:00,22,43.9,392,330,0
5/1/2021 20:00,21.9,43.5,392,331,0
5/1/2021 22:00,21.8,43.5,393,327,0
5/2/2021 0:00,21.8,43.5,397,322,0
5/2/2021 2:00,21.7,43.4,393,316,0
5/2/2021 4:00,21.6,43,394,308,0
5/2/2021 6:00,21.6,42.6,393,301,0
5/2/2021 8:00,21.5,42.4,387,296,0
5/2/2021 10:00,21.6,41.7,377,279,0
5/2/2021 12:00,21.6,41.3,370,270,0.167
5/2/2021 14:00,21.6,40.7,369,263,0
5/2/2021 16:00,21.6,39.9,367,251,0
5/2/2021 18:00,21.6,39.5,367,243,0
5/2/2021 20:00,21.5,39.5,370,246,0
5/2/2021 22:00,21.4,39.1,371,234,0
5/3/2021 0:00,21.4,38.5,370,225,0
5/3/2021 2:00,21.3,38,374,216,0
5/3/2021 4:00,21.2,37.5,384,213,8.67
5/3/2021 6:00,21.5,35.2,667,286,243
5/3/2021 8:00,22.3,33.1,795,265,404
5/3/2021 10:00,22.5,32.8,804,270,129
5/3/2021 12:00,22.1,30,517,184,51.8
5/3/2021 14:00,22.1,31.1,447,241,36.5
5/3/2021 16:00,22,33.4,423,247,0
5/3/2021 18:00,22,33.6,407,221,0
5/3/2021 20:00,21.9,34.2,405,213,0
5/3/2021 22:00,21.8,34.8,412,212,0
5/4/2021 0:00,21.7,35,416,206,0
5/4/2021 2:00,21.6,35.3,415,200,0
5/4/2021 4:00,21.6,34.8,415,199,8.17
5/4/2021 6:00,21.5,33.3,522,253,66.5
5/4/2021 8:00,22.5,35,683,259,338
5/4/2021 10:00,22.8,37.5,789,316,135
5/4/2021 12:00,22.6,35,537,235,64.2
5/4/2021 14:00,22.5,34.9,433,269,38.7
5/4/2021 16:00,22.5,37.3,431,298,0
5/4/2021 18:00,22.4,36.5,407,257,0
5/4/2021 20:00,22.3,36.1,404,245,0
5/4/2021 22:00,22.2,36.5,407,240,0
5/5/2021 0:00,22.1,36.5,410,234,0
5/5/2021 2:00,22,36.5,414,226,0
5/5/2021 4:00,22,36.4,422,223,9.58
5/5/2021 6:00,22.2,37.5,684,325,66.2
5/5/2021 8:00,22.9,38.8,765,335,185
5/5/2021 10:00,23,39.8,861,330,77.8
5/5/2021 12:00,22.8,39,566,291,43.1
5/5/2021 14:00,22.5,37.1,422,293,26.7
5/5/2021 16:00,22.5,38.6,423,307,0
5/5/2021 18:00,22.4,37.9,413,271,0
5/5/2021 20:00,22.3,37.5,409,256,0
5/5/2021 22:00,22.1,37.1,404,238,0
5/6/2021 0:00,22,36.4,402,219,0
5/6/2021 2:00,21.9,36,404,206,0
5/6/2021 4:00,21.8,35.8,418,204,22.9
5/6/2021 6:00,22,34.3,578,284,86.7
5/6/2021 8:00,22.9,33.8,873,252,368
5/6/2021 10:00,23,34,737,251,138
5/6/2021 12:00,22.6,33.7,541,192,47.1
5/6/2021 14:00,22.4,34,418,178,24.4
5/6/2021 16:00,22.3,36.2,425,273,9.67
5/6/2021 18:00,22.2,37.5,431,284,0
5/6/2021 20:00,22.1,37,422,259,0
5/6/2021 22:00,22,37,418,249,0
5/7/2021 0:00,22,37.4,412,243,0
5/7/2021 2:00,21.9,37.5,414,237,0
5/7/2021 4:00,21.9,37.8,414,237,11.1
5/7/2021 6:00,22.3,40.7,655,308,239
5/7/2021 8:00,23.3,41,569,269,450
5/7/2021 10:00,23.3,40.9,565,282,115
5/7/2021 12:00,23,37,434,241,68.8
5/7/2021 14:00,23,37.3,432,259,13.7
5/7/2021 16:00,22.9,37.9,416,249,0
5/7/2021 18:00,22.7,36.9,405,231,0
5/7/2021 20:00,22.6,36.5,402,219,0
5/7/2021 22:00,22.5,36,399,203,0
5/8/2021 0:00,22.3,35.1,395,185,0
5/8/2021 2:00,22.2,34.4,392,166,0
5/8/2021 4:00,22,34,395,147,0
5/8/2021 6:00,21.9,34,394,138,0
5/8/2021 8:00,22,33.3,389,137,0
5/8/2021 10:00,22.1,32.7,378,128,0
5/8/2021 12:00,22.1,33,372,125,0
5/8/2021 14:00,22.1,33.3,368,130,0
5/8/2021 16:00,22.2,33.5,367,132,0
5/8/2021 18:00,22.2,33.5,365,129,0
5/8/2021 20:00,22.1,33.7,374,130,0
5/8/2021 22:00,22.1,34.3,384,136,0
5/9/2021 0:00,22,34.5,396,135,0
5/9/2021 2:00,21.9,35,407,133,0
5/9/2021 4:00,21.8,35,418,129,0
5/9/2021 6:00,21.7,35,412,129,0
5/9/2021 8:00,21.9,34.9,404,132,0
5/9/2021 10:00,22,34.5,392,131,0
5/9/2021 12:00,22.1,35,383,135,0
5/9/2021 14:00,22.2,35.4,378,145,0
5/9/2021 16:00,22.3,35.8,373,151,0
5/9/2021 18:00,22.3,36,371,152,0
5/9/2021 20:00,22.3,36,375,150,0
5/9/2021 22:00,22.3,36,384,151,0
5/10/2021 0:00,22.2,36.1,395,152,0
5/10/2021 2:00,22.2,36.5,406,155,0
5/10/2021 4:00,22.3,36.5,416,161,8.33
5/10/2021 6:00,22.7,40.1,769,333,87.9
5/10/2021 8:00,23.1,42.6,1043,328,175
5/10/2021 10:00,23.5,43.8,871,316,99.2
5/10/2021 12:00,23.5,42.8,501,288,78.8
5/10/2021 14:00,23.6,43.2,456,292,31
5/10/2021 16:00,23.4,43.7,456,297,0
5/10/2021 18:00,23.3,42.7,437,283,0
5/10/2021 20:00,23.2,41.8,420,269,0
5/10/2021 22:00,23.2,41.1,413,256,0
5/11/2021 0:00,23.1,40.9,418,250,0
5/11/2021 2:00,23,40.5,418,245,0
5/11/2021 4:00,23,40.6,424,244,9.17
5/11/2021 6:00,23.4,45.2,705,407,58.7
5/11/2021 8:00,23.7,48.9,924,362,66.6
5/11/2021 10:00,23.8,50,722,339,43.3
5/11/2021 12:00,23.5,50.7,609,371,21.6
5/11/2021 14:00,23.2,51.5,497,402,0
5/11/2021 16:00,23.2,50.1,489,373,0
5/11/2021 18:00,23,48.4,470,347,0
5/11/2021 20:00,22.9,47.6,455,329,0
5/11/2021 22:00,22.8,46.9,442,315,0
5/12/2021 0:00,22.7,46.3,426,301,0
5/12/2021 2:00,22.5,45.6,413,289,0
5/12/2021 4:00,22.5,45.4,408,288,17
5/12/2021 6:00,22.8,46.7,718,448,83.3
5/12/2021 8:00,23.2,46.9,742,361,227
5/12/2021 10:00,23.3,45.5,669,318,105
5/12/2021 12:00,23,39.3,476,227,48.1
5/12/2021 14:00,22.8,39.8,432,252,25.7
5/12/2021 16:00,22.8,43,440,282,0
5/12/2021 18:00,22.7,43,427,270,0
5/12/2021 20:00,22.6,43,423,265,0
5/12/2021 22:00,22.5,42.8,417,255,0
5/13/2021 0:00,22.4,42.5,421,245,0
5/13/2021 2:00,22.3,42.5,422,237,0
5/13/2021 4:00,22.2,42.4,432,238,12.3
5/13/2021 6:00,22.8,42.9,728,381,161
5/13/2021 8:00,23.2,42.5,704,274,187
5/13/2021 10:00,23.2,42.1,630,252,74.4
5/13/2021 12:00,23.1,36.9,489,208,41.9
5/13/2021 14:00,22.9,37.8,445,200,10.5
5/13/2021 16:00,22.8,40,430,221,0
5/13/2021 18:00,22.7,40.5,421,220,0
5/13/2021 20:00,22.6,40.5,416,221,0
5/13/2021 22:00,22.6,40.5,414,221,0
5/14/2021 0:00,22.5,41,416,218,0
5/14/2021 2:00,22.4,41,420,217,0
5/14/2021 4:00,22.4,41.1,433,221,11.2
5/14/2021 6:00,22.8,43.7,736,373,116
5/14/2021 8:00,23.6,44.4,700,291,426
5/14/2021 10:00,23.7,40.7,575,249,148
5/14/2021 12:00,23.3,38.3,424,214,67.8
5/14/2021 14:00,23.2,40.8,426,279,11.8
5/14/2021 16:00,23.1,41.7,414,260,0
5/14/2021 18:00,23,42,416,256,0
5/14/2021 20:00,22.9,42,412,249,0
5/14/2021 22:00,22.8,42,411,243,0
5/15/2021 0:00,22.7,42.5,411,237,0
5/15/2021 2:00,22.6,42.5,409,231,0
5/15/2021 4:00,22.5,42.5,410,226,0
5/15/2021 6:00,22.3,42.5,409,223,0
5/15/2021 8:00,22.3,42.5,407,224,0
5/15/2021 10:00,22.3,42.5,394,214,0
5/15/2021 12:00,22.3,42.5,384,211,0
5/15/2021 14:00,22.3,42.5,380,210,0
5/15/2021 16:00,22.3,42.5,376,209,0
5/15/2021 18:00,22.2,42.5,377,209,0
5/15/2021 20:00,22.1,42.8,381,211,0
5/15/2021 22:00,22.1,43,387,208,0
5/16/2021 0:00,22,43,391,206,0
5/16/2021 2:00,21.9,43,397,204,0
5/16/2021 4:00,21.8,43,401,199,0
5/16/2021 6:00,21.8,43,398,196,0
5/16/2021 8:00,22,42.5,393,195,0
5/16/2021 10:00,22.1,42.5,383,193,0
5/16/2021 12:00,22,42.5,375,190,0
5/16/2021 14:00,22,42.7,369,190,0
5/16/2021 16:00,22,43,367,191,0
5/16/2021 18:00,22,43,369,192,0
5/16/2021 20:00,22,43,371,194,0
