Time,Temperature,Humidity,,,
4/3/2021 6:00,23.3,25.7,,,
4/3/2021 8:00,23.4,24.2,,,
4/3/2021 10:00,23.8,24,,,
4/3/2021 12:00,24.2,23.3,,,
4/3/2021 14:00,24.3,23,,,
4/3/2021 16:00,24.1,22.4,,,
4/3/2021 18:00,23.6,23,,,
4/3/2021 20:00,23.3,22.2,,,
4/3/2021 22:00,23.1,22,,,
4/4/2021 0:00,22.8,22.6,,,
4/4/2021 2:00,22.6,23,,,
4/4/2021 4:00,22.4,23,,,
4/4/2021 6:00,22.2,23,,,
4/4/2021 8:00,22.4,23.3,,,
4/4/2021 10:00,22.8,22.2,,,
4/4/2021 12:00,23.1,22,,,
4/4/2021 14:00,23.4,21.4,,,
4/4/2021 16:00,23.2,21,,,
4/4/2021 18:00,22.9,22.2,,,
4/4/2021 20:00,22.6,23,,,
4/4/2021 22:00,22.4,23.3,,,
4/5/2021 0:00,22.2,24,,,
4/5/2021 2:00,22.1,24.2,,,
4/5/2021 4:00,22.1,25,,,
4/5/2021 6:00,22,25,,,
4/5/2021 8:00,22.3,25,,,
4/5/2021 10:00,22.7,25,,,
4/5/2021 12:00,23.1,25,,,
4/5/2021 14:00,23.2,25,,,
4/5/2021 16:00,23.1,25,,,
4/5/2021 18:00,22.8,25,,,
4/5/2021 20:00,22.5,25.1,,,
4/5/2021 22:00,22.3,26,,,
4/6/2021 0:00,22.1,25.6,,,
4/6/2021 2:00,22,24.4,,,
4/6/2021 4:00,21.9,22.9,,,
4/6/2021 6:00,21.8,22.5,,,
4/6/2021 8:00,22,21.4,,,
4/6/2021 10:00,22.3,20.5,,,
4/6/2021 12:00,22.3,20.4,,,
4/6/2021 14:00,22.3,20.3,,,
4/6/2021 16:00,22.3,20.2,,,
4/6/2021 18:00,22.4,20,,,
4/6/2021 20:00,22.4,19.9,,,
4/6/2021 22:00,22.4,19.8,,,
4/7/2021 0:00,22.4,19.7,,,
4/7/2021 2:00,22.5,19.6,,,
4/7/2021 4:00,22.5,19.5,,,
4/7/2021 6:00,22.5,19.4,,,
4/7/2021 8:00,21.3,21.1,,,
4/7/2021 10:00,20.9,19,,,
4/7/2021 12:00,21.2,18.5,,,
4/7/2021 14:00,21.6,21.1,,,
4/7/2021 16:00,21.5,22.3,,,
