Time,Temperature,Humidity
4/3/2021 6:00,23.8,24
4/3/2021 8:00,23.9,24
4/3/2021 10:00,24.1,23.7
4/3/2021 12:00,24.4,23
4/3/2021 14:00,24.8,22.1
4/3/2021 16:00,24.5,22
4/3/2021 18:00,24.1,21.4
4/3/2021 20:00,23.8,21
4/3/2021 22:00,23.6,20.6
4/4/2021 0:00,23.4,20
4/4/2021 2:00,23.3,20.3
4/4/2021 4:00,23.1,21
4/4/2021 6:00,22.9,21.1
4/4/2021 8:00,23,22
4/4/2021 10:00,23.1,22
4/4/2021 12:00,23.6,21.4
4/4/2021 14:00,24.1,21
4/4/2021 16:00,23.9,21
4/4/2021 18:00,23.6,21
4/4/2021 20:00,23.4,21
4/4/2021 22:00,23.2,21.6
4/5/2021 0:00,23,22
4/5/2021 2:00,23.1,22.9
4/5/2021 4:00,23.2,23.2
4/5/2021 6:00,23.2,24
4/5/2021 8:00,23.3,24
4/5/2021 10:00,23.6,24
4/5/2021 12:00,23.8,24
4/5/2021 14:00,24,24
4/5/2021 16:00,23.9,24
4/5/2021 18:00,23.6,24
4/5/2021 20:00,23.3,24
4/5/2021 22:00,23.1,24
4/6/2021 0:00,22.9,24.5
4/6/2021 2:00,22.8,23.5
4/6/2021 4:00,22.9,21.8
4/6/2021 6:00,22.9,20.6
4/6/2021 8:00,23,19.6
4/6/2021 10:00,23.1,19
4/6/2021 12:00,23.2,18.9
4/6/2021 14:00,23.2,18.8
4/6/2021 16:00,23.2,18.7
4/6/2021 18:00,23.2,18.6
4/6/2021 20:00,23.3,18.6
4/6/2021 22:00,23.3,18.5
4/7/2021 0:00,23.3,18.4
4/7/2021 2:00,23.3,18.3
4/7/2021 4:00,23.4,18.2
4/7/2021 6:00,23.4,18.1
4/7/2021 8:00,22.3,18.9
4/7/2021 10:00,22.2,17.4
4/7/2021 12:00,22.4,16
4/7/2021 14:00,22.6,17.5
4/7/2021 16:00,22.4,19
4/7/2021 18:00,22.2,19
4/7/2021 20:00,21.9,19
4/7/2021 22:00,21.8,19
4/8/2021 0:00,21.6,19.3
4/8/2021 2:00,21.6,20
4/8/2021 4:00,21.6,20.7
4/8/2021 6:00,21.4,21.2
4/8/2021 8:00,21.6,21
4/8/2021 10:00,21.9,19.8
4/8/2021 12:00,22.4,18.5
4/8/2021 14:00,23,19.2
4/8/2021 16:00,22.8,21
4/8/2021 18:00,22.4,21
4/8/2021 20:00,22.1,21.1
4/8/2021 22:00,21.9,21.9
4/9/2021 0:00,21.7,22
4/9/2021 2:00,21.7,22.9
4/9/2021 4:00,21.7,22.9
4/9/2021 6:00,21.7,24.1
4/9/2021 8:00,21.7,21.6
4/9/2021 10:00,22,20.1
4/9/2021 12:00,22.6,21.9
4/9/2021 14:00,23.1,25.4
4/9/2021 16:00,22.6,23.7
4/9/2021 18:00,22.2,26
4/9/2021 20:00,22.3,26
4/9/2021 22:00,22.2,26
4/10/2021 0:00,22.1,26
4/10/2021 2:00,22,26
4/10/2021 4:00,21.9,26.1
4/10/2021 6:00,21.9,26.9
4/10/2021 8:00,21.9,27
4/10/2021 10:00,22,26.8
4/10/2021 12:00,22,26.3
4/10/2021 14:00,22,26.2
4/10/2021 16:00,22,26.3
4/10/2021 18:00,22,27
4/10/2021 20:00,22,27
4/10/2021 22:00,21.9,27
4/11/2021 0:00,21.9,27.9
4/11/2021 2:00,21.8,28
4/11/2021 4:00,21.8,28.5
4/11/2021 6:00,21.8,29
4/11/2021 8:00,21.8,29
4/11/2021 10:00,21.9,29.6
4/11/2021 12:00,21.9,30
4/11/2021 14:00,21.9,30
4/11/2021 16:00,21.9,30
4/11/2021 18:00,21.9,30
4/11/2021 20:00,21.8,30.9
4/11/2021 22:00,21.8,31
4/12/2021 0:00,21.8,31
4/12/2021 2:00,22,31
4/12/2021 4:00,22.2,31.3
4/12/2021 6:00,22.3,34
4/12/2021 8:00,22.4,35
4/12/2021 10:00,22.5,35.6
4/12/2021 12:00,22.5,34.7
4/12/2021 14:00,22.4,34.7
4/12/2021 16:00,22.2,34.9
4/12/2021 18:00,21.9,33.9
4/12/2021 20:00,21.7,33
4/12/2021 22:00,21.6,32.2
4/13/2021 0:00,21.5,31.9
4/13/2021 2:00,21.5,31
4/13/2021 4:00,21.7,29.1
4/13/2021 6:00,21.7,26.5
4/13/2021 8:00,22,26
4/13/2021 10:00,22.2,23.4
4/13/2021 12:00,22.4,22
4/13/2021 14:00,22.8,22.8
4/13/2021 16:00,22.6,25.2
4/13/2021 18:00,22.2,25
4/13/2021 20:00,22,24.5
4/13/2021 22:00,21.8,24
4/14/2021 0:00,21.7,24
4/14/2021 2:00,21.7,24
4/14/2021 4:00,21.8,23.4
4/14/2021 6:00,21.8,22
4/14/2021 8:00,21.9,21
4/14/2021 10:00,22,18.4
4/14/2021 12:00,22.5,17.5
4/14/2021 14:00,22.8,18.1
4/14/2021 16:00,22.8,21.9
4/14/2021 18:00,22.4,22
4/14/2021 20:00,22.2,22
4/14/2021 22:00,22.1,21.9
4/15/2021 0:00,22,21.3
4/15/2021 2:00,22,22
4/15/2021 4:00,22.2,22.3
4/15/2021 6:00,22.2,24.3
4/15/2021 8:00,22.3,24
4/15/2021 10:00,22.5,22.9
4/15/2021 12:00,22.6,21.5
4/15/2021 14:00,22.9,23.5
4/15/2021 16:00,22.7,25
4/15/2021 18:00,22.5,25
4/15/2021 20:00,22.3,25
4/15/2021 22:00,22.1,25
4/16/2021 0:00,22,25
4/16/2021 2:00,22,25.1
4/16/2021 4:00,22.1,24.7
4/16/2021 6:00,21.7,24.5
4/16/2021 8:00,22,23.9
4/16/2021 10:00,22.3,22.7
4/16/2021 12:00,23,23
4/16/2021 14:00,23.4,24
4/16/2021 16:00,23.2,25.8
4/16/2021 18:00,22.8,25
4/16/2021 20:00,22.6,25
4/16/2021 22:00,22.4,25
4/17/2021 0:00,22.2,25.2
4/17/2021 2:00,22.1,25.8
4/17/2021 4:00,21.9,26
4/17/2021 6:00,21.9,26
4/17/2021 8:00,22,25.8
4/17/2021 10:00,22.3,25
4/17/2021 12:00,22.7,24.8
4/17/2021 14:00,23.3,24
4/17/2021 16:00,23.2,24
4/17/2021 18:00,22.9,23.8
4/17/2021 20:00,22.7,23.8
4/17/2021 22:00,22.6,24
4/18/2021 0:00,22.5,24
4/18/2021 2:00,22.4,24.1
4/18/2021 4:00,22.3,25
4/18/2021 6:00,22.3,25
4/18/2021 8:00,22.4,25
4/18/2021 10:00,22.5,25
4/18/2021 12:00,22.7,25
4/18/2021 14:00,22.9,24
4/18/2021 16:00,22.9,24
4/18/2021 18:00,22.9,24
4/18/2021 20:00,22.8,24.1
4/18/2021 22:00,22.7,24.8
4/19/2021 0:00,22.6,25
4/19/2021 2:00,22.7,25
4/19/2021 4:00,22.8,25.2
4/19/2021 6:00,22.5,26.5
4/19/2021 8:00,22.7,26
4/19/2021 10:00,23,26
