Time,Temperature,Humidity,CO2,,
4/3/2021 6:00,26.9,15.8,39.6,,
4/3/2021 8:00,28.4,14.4,42.4,,
4/3/2021 10:00,29,13,37.1,,
4/3/2021 12:00,28.1,13.4,14.5,,
4/3/2021 14:00,27.3,14,46,,
4/3/2021 16:00,26.7,14,16.2,,
4/3/2021 18:00,26.1,14.2,0,,
4/3/2021 20:00,25.6,14,0,,
4/3/2021 22:00,25,14,0,,
4/4/2021 0:00,24.6,13.9,0,,
4/4/2021 2:00,24.3,14,0,,
4/4/2021 4:00,24.2,14,0.167,,
4/4/2021 6:00,24.2,15,13.2,,
4/4/2021 8:00,26.1,13.5,41,,
4/4/2021 10:00,26.9,13,36.2,,
4/4/2021 12:00,26.1,12.9,13.3,,
4/4/2021 14:00,25.5,13,46,,
4/4/2021 16:00,25.1,13,15.1,,
4/4/2021 18:00,24.6,13.7,0,,
4/4/2021 20:00,24.4,14.5,0,,
4/4/2021 22:00,24.3,15.4,0,,
4/5/2021 0:00,24.7,16.3,0,,
4/5/2021 2:00,25.4,17,0,,
4/5/2021 4:00,25.7,17,0.25,,
4/5/2021 6:00,26,17,10.6,,
4/5/2021 8:00,27.7,16.2,37.6,,
4/5/2021 10:00,28.3,15.5,29.1,,
4/5/2021 12:00,27.4,16,7.92,,
4/5/2021 14:00,26.7,16.2,17,,
4/5/2021 16:00,26.3,16.2,11.1,,
4/5/2021 18:00,25.8,16.9,0,,
4/5/2021 20:00,25.4,17.1,0,,
4/5/2021 22:00,25,18,0,,
4/6/2021 0:00,24.6,17.7,0,,
4/6/2021 2:00,24.8,15.5,0,,
4/6/2021 4:00,25.2,13.8,0.0833,,
4/6/2021 6:00,25.6,12.3,13.1,,
4/6/2021 8:00,27.6,10.2,40.4,,
4/6/2021 10:00,28.2,9.08,40.5,,
4/6/2021 12:00,28.1,9.17,37.4,,
4/6/2021 14:00,27.9,9.26,34.4,,
4/6/2021 16:00,27.7,9.34,31.3,,
4/6/2021 18:00,27.6,9.43,28.2,,
4/6/2021 20:00,27.4,9.51,25.2,,
4/6/2021 22:00,27.2,9.6,22.1,,
4/7/2021 0:00,27,9.69,19,,
4/7/2021 2:00,26.9,9.77,16,,
4/7/2021 4:00,26.7,9.86,12.9,,
4/7/2021 6:00,26.5,9.94,9.85,,
4/7/2021 8:00,24.6,12,51.7,,
4/7/2021 10:00,24.6,12.3,96.7,,
4/7/2021 12:00,24.9,11.8,90.7,,
4/7/2021 14:00,25.6,12.2,26.4,,
4/7/2021 16:00,25.5,11.8,0.875,,
4/7/2021 18:00,25,11,0,,
4/7/2021 20:00,24.4,11.1,0,,
4/7/2021 22:00,23.9,12,0,,
4/8/2021 0:00,23.7,12.3,0,,
4/8/2021 2:00,24.1,13,0,,
4/8/2021 4:00,24.3,13.1,67.8,,
4/8/2021 6:00,24.3,14,151,,
4/8/2021 8:00,24.6,13.2,70.4,,
4/8/2021 10:00,23.4,12.1,61.5,,
4/8/2021 12:00,23.4,11.7,33.7,,
4/8/2021 14:00,25,12.6,44.7,,
4/8/2021 16:00,25.3,12.3,6.25,,
4/8/2021 18:00,24.9,13,0,,
4/8/2021 20:00,24.4,13.5,0,,
4/8/2021 22:00,24,14,0,,
4/9/2021 0:00,23.7,14.3,0,,
4/9/2021 2:00,24.2,15,0,,
4/9/2021 4:00,23.5,16.3,73.8,,
4/9/2021 6:00,23.4,17.6,206,,
4/9/2021 8:00,24.8,16,184,,
4/9/2021 10:00,26,14.8,62.4,,
4/9/2021 12:00,26.5,15.1,46.3,,
4/9/2021 14:00,26.5,16.5,33.6,,
4/9/2021 16:00,26.2,16.6,24.6,,
4/9/2021 18:00,25.6,17.5,0,,
4/9/2021 20:00,25,18,0,,
4/9/2021 22:00,24.5,18.1,0,,
4/10/2021 0:00,24.1,18.6,0,,
4/10/2021 2:00,24.2,19.8,0,,
4/10/2021 4:00,24.9,20.1,0,,
4/10/2021 6:00,25.5,20,1.25,,
4/10/2021 8:00,25.9,19.8,2.08,,
4/10/2021 10:00,26.1,19,1.88,,
