Time,Temperature,Humidity,CO2,tvoc,illumination
4/3/2021 6:00,24.8,20,428,374,157
4/3/2021 8:00,26.3,19.8,428,725,300
4/3/2021 10:00,27.5,18.2,424,762,239
4/3/2021 12:00,27.2,17.5,421,600,80.4
4/3/2021 14:00,26.9,17.1,423,447,47.7
4/3/2021 16:00,26.2,17,423,356,8.58
4/3/2021 18:00,25.4,17.2,423,318,0
4/3/2021 20:00,24.6,16.7,424,254,0
4/3/2021 22:00,24,16.5,429,213,0
4/4/2021 0:00,23.5,16.5,424,184,0
4/4/2021 2:00,23,16.5,428,163,0
4/4/2021 4:00,22.5,17,433,146,2.42
4/4/2021 6:00,22.2,17.5,439,145,45.1
4/4/2021 8:00,23.9,18.1,438,277,291
4/4/2021 10:00,25.4,17.5,432,338,237
4/4/2021 12:00,25.3,17.5,426,341,78.5
4/4/2021 14:00,25.3,17.5,424,349,50.5
4/4/2021 16:00,24.9,17.1,419,318,8.75
4/4/2021 18:00,24.3,16.7,422,261,0
4/4/2021 20:00,23.7,17.3,430,237,0
4/4/2021 22:00,23.2,18.1,438,215,0
4/5/2021 0:00,22.7,18.8,449,205,0
4/5/2021 2:00,22.7,19.5,462,221,0
4/5/2021 4:00,22.7,20,467,236,2.83
4/5/2021 6:00,22.9,20.3,465,266,42.3
4/5/2021 8:00,24.5,20.5,455,385,259
4/5/2021 10:00,26.1,19.7,438,553,203
4/5/2021 12:00,26.4,19.5,429,581,69.8
4/5/2021 14:00,26.4,19,422,543,51.1
4/5/2021 16:00,26,19.2,421,469,10.8
4/5/2021 18:00,25.3,19.7,422,420,0
4/5/2021 20:00,24.6,20,429,359,0
4/5/2021 22:00,23.9,20.6,443,323,0
4/6/2021 0:00,23.4,20.9,440,296,0
4/6/2021 2:00,23.1,19.6,428,259,0
4/6/2021 4:00,23,18,420,217,2.5
4/6/2021 6:00,23,17.2,421,201,43.3
4/6/2021 8:00,24.8,17,423,293,263
4/6/2021 10:00,26,15.4,423,307,300
4/6/2021 12:00,25.9,15.4,422,303,275
4/6/2021 14:00,25.9,15.3,422,299,250
4/6/2021 16:00,25.8,15.3,421,295,225
4/6/2021 18:00,25.8,15.2,421,291,200
4/6/2021 20:00,25.7,15.2,420,286,175
4/6/2021 22:00,25.6,15.1,420,282,150
4/7/2021 0:00,25.6,15.1,419,278,125
4/7/2021 2:00,25.5,15,419,274,99.6
4/7/2021 4:00,25.5,15,418,270,74.6
4/7/2021 6:00,25.4,14.9,418,266,49.5
4/7/2021 8:00,20.9,16.5,469,90.2,16.9
4/7/2021 10:00,17.9,14.8,446,124,79.1
4/7/2021 12:00,19.8,15.2,516,376,96.3
4/7/2021 14:00,21.5,18.5,550,1228,42.1
4/7/2021 16:00,21.5,19.6,522,1530,10.3
4/7/2021 18:00,21.1,18.3,480,1152,0
4/7/2021 20:00,20.7,17.7,456,814,0
4/7/2021 22:00,20.3,17.5,443,547,0
4/8/2021 0:00,20,17.5,440,383,0
4/8/2021 2:00,19.9,17.8,445,369,0
4/8/2021 4:00,19.3,18.4,459,460,8.08
4/8/2021 6:00,19.3,20.4,816,1178,52.1
4/8/2021 8:00,19.6,17.7,513,300,250
4/8/2021 10:00,20.3,15.8,459,265,240
4/8/2021 12:00,21.2,15.2,487,445,79.4
4/8/2021 14:00,22.4,18.2,514,1329,56.3
4/8/2021 16:00,22.6,20.1,514,1880,9.92
4/8/2021 18:00,22.1,19.2,487,1554,0.0909
4/8/2021 20:00,21.6,19,477,1281,0
4/8/2021 22:00,21.2,19,474,1097,0
4/9/2021 0:00,20.8,19,469,939,0
4/9/2021 2:00,20.8,19,466,860,0
4/9/2021 4:00,19.9,21,478,1140,9.83
4/9/2021 6:00,18.5,25.7,640,844,51.3
4/9/2021 8:00,19.7,21.3,515,425,213
4/9/2021 10:00,21.3,19.3,481,700,181
4/9/2021 12:00,22.9,20.3,533,1801,87
4/9/2021 14:00,23.7,24.2,540,2578,52.3
4/9/2021 16:00,23.4,22.5,484,1964,12
4/9/2021 18:00,23,26.1,500,2890,3.33
4/9/2021 20:00,22.8,24.9,487,2644,0
4/9/2021 22:00,22.5,23.8,470,2212,0
4/10/2021 0:00,22.3,23.5,468,2002,0
4/10/2021 2:00,22.1,23.6,474,1882,0
4/10/2021 4:00,21.9,24,488,1851,2
4/10/2021 6:00,21.9,24,497,1858,22.9
4/10/2021 8:00,22,24,498,1939,43
4/10/2021 10:00,22.3,24,485,2029,37.1
4/10/2021 12:00,22.3,23.5,473,2063,21.8
4/10/2021 14:00,22.4,23.5,463,2080,19.3
4/10/2021 16:00,22.3,23.5,457,2089,4.5
4/10/2021 18:00,22.2,23.6,452,2044,0
4/10/2021 20:00,22,24.3,458,1931,0
4/10/2021 22:00,21.8,24.7,468,1911,0
4/11/2021 0:00,21.7,25,484,1900,0
4/11/2021 2:00,21.5,25.6,474,1906,0
4/11/2021 4:00,21.4,26.3,466,1953,0.917
4/11/2021 6:00,21.3,26.8,465,1979,16.6
4/11/2021 8:00,21.5,26.5,462,2078,42.8
4/11/2021 10:00,21.8,26.8,456,2202,35.6
4/11/2021 12:00,21.9,26.6,451,2261,27.9
4/11/2021 14:00,22,26.6,447,2301,29.3
4/11/2021 16:00,22,26.6,443,2317,6.17
4/11/2021 18:00,21.8,26.8,446,2309,0
4/11/2021 20:00,21.7,27.9,453,2293,0
4/11/2021 22:00,21.5,28.5,460,2302,0
4/12/2021 0:00,21.5,29,474,2303,0
4/12/2021 2:00,21.8,28.8,478,2389,0
4/12/2021 4:00,21.8,30.9,488,2587,5.17
4/12/2021 6:00,20.4,42.2,682,2390,21.2
4/12/2021 8:00,20.7,41.8,549,2412,29.1
4/12/2021 10:00,20.7,40.2,484,2241,44.5
4/12/2021 12:00,21.1,37.7,513,2775,15.1
4/12/2021 14:00,21.9,36.1,532,4837,10.4
4/12/2021 16:00,21.7,35.9,517,5690,1.25
4/12/2021 18:00,21.4,33.3,479,3857,0
4/12/2021 20:00,21,32.1,461,2623,0
4/12/2021 22:00,20.8,31.2,453,2232,0
4/13/2021 0:00,20.5,30.8,447,2061,0
4/13/2021 2:00,20.5,29.7,445,2048,0
4/13/2021 4:00,20.1,26.8,451,1363,9.82
4/13/2021 6:00,20.2,25.1,717,1189,58.1
4/13/2021 8:00,19.8,19.8,471,264,185
