Time,Temperature,Humidity,CO2,illumination
4/3/2021 6:00,23.6,19,386,377
4/3/2021 8:00,24.2,19.7,385,508
4/3/2021 10:00,25.4,20,383,752
4/3/2021 12:00,26.4,18.5,381,1187
4/3/2021 14:00,26.7,16.7,381,568
4/3/2021 16:00,25.7,16.7,381,64.8
4/3/2021 18:00,24.7,17.2,385,0
4/3/2021 20:00,23.9,17,385,0
4/3/2021 22:00,23.2,17,386,0
4/4/2021 0:00,22.6,17,386,0
4/4/2021 2:00,22.2,17,392,0
4/4/2021 4:00,21.8,17.9,398,31
4/4/2021 6:00,21.5,18.2,403,193
4/4/2021 8:00,22.1,18.7,397,500
4/4/2021 10:00,23.5,19,393,760
4/4/2021 12:00,24.8,18,386,1211
4/4/2021 14:00,25.4,16.3,383,621
4/4/2021 16:00,24.8,15.1,380,59.7
4/4/2021 18:00,23.9,16.5,386,0
4/4/2021 20:00,23.2,17.1,391,0
4/4/2021 22:00,22.6,18.2,405,0
4/5/2021 0:00,22.3,19.3,417,0
4/5/2021 2:00,22.2,20,425,0
4/5/2021 4:00,22.1,20.6,425,35.3
4/5/2021 6:00,22.1,21,423,227
4/5/2021 8:00,22.9,21,409,532
4/5/2021 10:00,24.3,20.3,399,903
4/5/2021 12:00,25.2,19.3,388,746
4/5/2021 14:00,25.3,19,382,525
4/5/2021 16:00,24.8,19,383,74.8
4/5/2021 18:00,24,19.5,385,0
4/5/2021 20:00,23.3,20.3,395,0
4/5/2021 22:00,22.7,21,408,0
4/6/2021 0:00,22.2,21.3,401,0
4/6/2021 2:00,22,19.5,389,0
4/6/2021 4:00,22,17.8,387,30.3
4/6/2021 6:00,21.9,16.7,389,188
4/6/2021 8:00,22.6,16,383,494
4/6/2021 10:00,23.5,15.6,384,615
4/6/2021 12:00,23.6,15.5,384,606
4/6/2021 14:00,23.7,15.4,383,596
4/6/2021 16:00,23.8,15.3,383,587
4/6/2021 18:00,23.8,15.2,383,577
4/6/2021 20:00,23.9,15.1,383,568
4/6/2021 22:00,24,15,383,558
4/7/2021 0:00,24.1,14.9,383,549
4/7/2021 2:00,24.2,14.8,383,539
4/7/2021 4:00,24.2,14.7,383,529
4/7/2021 6:00,24.3,14.6,382,520
4/7/2021 8:00,20.9,16.7,464,115
4/7/2021 10:00,19.4,15.8,474,662
4/7/2021 12:00,21.2,15.5,503,1227
4/7/2021 14:00,22.6,16.1,473,438
4/7/2021 16:00,22.1,17.5,449,87.5
4/7/2021 18:00,21.4,17.5,429,0
4/7/2021 20:00,20.8,17,413,0
4/7/2021 22:00,20.4,17,406,0
4/8/2021 0:00,20,17.7,407,0
4/8/2021 2:00,20.2,18,409,0
4/8/2021 4:00,20,18.1,437,39.6
4/8/2021 6:00,19.7,20.5,719,204
4/8/2021 8:00,19.3,20.5,625,500
4/8/2021 10:00,20.1,16.6,471,769
4/8/2021 12:00,22,14.9,444,1240
4/8/2021 14:00,23.6,16.4,456,690
4/8/2021 16:00,23.3,19,469,64.5
4/8/2021 18:00,22.6,18.8,445,0
4/8/2021 20:00,21.9,18.3,433,0
4/8/2021 22:00,21.3,19,430,0
