Time,Temperature,Humidity,,,
4/3/2021 6:00,24.2,19,,,
4/3/2021 8:00,24.4,18.3,,,
4/3/2021 10:00,24.9,16.9,,,
4/3/2021 12:00,25.9,16,,,
4/3/2021 14:00,25.8,15.9,,,
4/3/2021 16:00,25,16,,,
4/3/2021 18:00,24.4,16,,,
4/3/2021 20:00,24,15.4,,,
4/3/2021 22:00,23.7,15,,,
4/4/2021 0:00,23.4,15,,,
4/4/2021 2:00,23.1,15,,,
4/4/2021 4:00,22.9,15.6,,,
4/4/2021 6:00,22.7,16.4,,,
4/4/2021 8:00,22.9,16.1,,,
4/4/2021 10:00,23.5,16,,,
4/4/2021 12:00,24.6,15.5,,,
4/4/2021 14:00,24.7,14.9,,,
4/4/2021 16:00,23.9,14.9,,,
4/4/2021 18:00,23.5,15.4,,,
4/4/2021 20:00,23.2,16.8,,,
4/4/2021 22:00,22.9,17.9,,,
4/5/2021 0:00,22.9,18.8,,,
4/5/2021 2:00,22.9,19.6,,,
4/5/2021 4:00,22.9,20,,,
4/5/2021 6:00,23,20.3,,,
4/5/2021 8:00,23.3,20.3,,,
4/5/2021 10:00,23.9,20,,,
4/5/2021 12:00,24.3,20,,,
4/5/2021 14:00,24.3,20,,,
4/5/2021 16:00,24.1,20,,,
4/5/2021 18:00,23.8,20.2,,,
4/5/2021 20:00,23.4,21,,,
4/5/2021 22:00,23.2,21.4,,,
4/6/2021 0:00,22.9,21.2,,,
4/6/2021 2:00,22.9,18.9,,,
4/6/2021 4:00,22.8,17,,,
4/6/2021 6:00,22.8,15.3,,,
4/6/2021 8:00,23,13.7,,,
4/6/2021 10:00,23.4,13,,,
4/6/2021 12:00,23.5,12.9,,,
4/6/2021 14:00,23.6,12.8,,,
4/6/2021 16:00,23.6,12.7,,,
4/6/2021 18:00,23.7,12.7,,,
4/6/2021 20:00,23.8,12.6,,,
4/6/2021 22:00,23.9,12.5,,,
4/7/2021 0:00,23.9,12.4,,,
4/7/2021 2:00,24,12.3,,,
4/7/2021 4:00,24.1,12.2,,,
4/7/2021 6:00,24.1,12.1,,,
4/7/2021 8:00,22.1,14.4,,,
4/7/2021 10:00,21.5,14.1,,,
4/7/2021 12:00,22.8,14.4,,,
4/7/2021 14:00,23.4,15.9,,,
4/7/2021 16:00,23.1,15.9,,,
4/7/2021 18:00,22.7,15.1,,,
4/7/2021 20:00,22.3,15,,,
4/7/2021 22:00,22,15,,,
4/8/2021 0:00,21.8,15.5,,,
4/8/2021 2:00,21.8,16,,,
4/8/2021 4:00,21.3,16.4,,,
4/8/2021 6:00,21.1,17.9,,,
4/8/2021 8:00,20.9,16.5,,,
4/8/2021 10:00,21.3,14.9,,,
4/8/2021 12:00,22.7,14.4,,,
4/8/2021 14:00,23.5,16.4,,,
4/8/2021 16:00,23,15.5,,,
4/8/2021 18:00,22.7,16.5,,,
4/8/2021 20:00,22.3,17,,,
4/8/2021 22:00,22,17.5,,,
4/9/2021 0:00,21.7,18,,,
4/9/2021 2:00,21.8,18,,,
4/9/2021 4:00,21,20,,,
4/9/2021 6:00,20.7,22.5,,,
4/9/2021 8:00,21,20.3,,,
4/9/2021 10:00,21.8,19.2,,,
4/9/2021 12:00,22.8,20.6,,,
4/9/2021 14:00,23.2,21.8,,,
4/9/2021 16:00,22.8,22.6,,,
4/9/2021 18:00,22.6,23.5,,,
4/9/2021 20:00,22.4,23,,,
4/9/2021 22:00,22.2,23,,,
4/10/2021 0:00,22,23,,,
4/10/2021 2:00,21.9,23.8,,,
4/10/2021 4:00,22,24,,,
4/10/2021 6:00,22.1,24.7,,,
4/10/2021 8:00,22.4,24.5,,,
4/10/2021 10:00,22.6,24,,,
4/10/2021 12:00,22.7,24,,,
4/10/2021 14:00,22.7,24,,,
4/10/2021 16:00,22.5,24.4,,,
4/10/2021 18:00,22.4,25,,,
4/10/2021 20:00,22.2,25,,,
4/10/2021 22:00,22,25.9,,,
4/11/2021 0:00,21.9,26,,,
4/11/2021 2:00,21.8,26.6,,,
4/11/2021 4:00,21.7,27.5,,,
4/11/2021 6:00,21.7,28.4,,,
4/11/2021 8:00,21.8,29.4,,,
4/11/2021 10:00,21.9,30,,,
4/11/2021 12:00,21.9,30,,,
4/11/2021 14:00,22,30,,,
4/11/2021 16:00,21.9,30,,,
4/11/2021 18:00,21.8,30.7,,,
4/11/2021 20:00,21.7,31,,,
4/11/2021 22:00,21.7,31,,,
4/12/2021 0:00,21.8,31,,,
4/12/2021 2:00,22,31.9,,,
4/12/2021 4:00,22,33.5,,,
4/12/2021 6:00,21.5,37.4,,,
4/12/2021 8:00,21.5,38.3,,,
4/12/2021 10:00,21.3,38.5,,,
4/12/2021 12:00,21.4,36.3,,,
4/12/2021 14:00,21.8,36.5,,,
4/12/2021 16:00,21.7,34.2,,,
4/12/2021 18:00,21.5,32.4,,,
4/12/2021 20:00,21.3,31.4,,,
4/12/2021 22:00,21.1,30.9,,,
4/13/2021 0:00,21,30,,,
4/13/2021 2:00,21.1,28.7,,,
4/13/2021 4:00,20.8,25.8,,,
4/13/2021 6:00,20.4,24.7,,,
4/13/2021 8:00,20.7,24.2,,,
4/13/2021 10:00,20.5,20.7,,,
4/13/2021 12:00,21,18.3,,,
4/13/2021 14:00,22.2,22.3,,,
4/13/2021 16:00,22,21.2,,,
4/13/2021 18:00,21.7,21,,,
4/13/2021 20:00,21.4,21.7,,,
4/13/2021 22:00,21.2,21.5,,,
4/14/2021 0:00,21,21,,,
4/14/2021 2:00,21.1,21,,,
4/14/2021 4:00,20.8,20.1,,,
4/14/2021 6:00,20.7,19.9,,,
4/14/2021 8:00,20.9,19.3,,,
